No         Symmetry   Value_Hartree        Value_eV       Occupancy  Homo/Lumo

142         O        -4.93925      -134.40045               O           
143         O        -4.93906      -134.39528               O           
144         O        -4.93879     -134.387933               O           
145         O        -4.93735      -134.34875               O           
146         O        -4.93722     -134.345212               O           
147         O        -4.93678      -134.33324               O           
148         O        -4.93504     -134.285893               O           
149         O        -4.93492     -134.282628               O           
150         O        -4.93289      -134.22739               O           
151         O        -4.91896     -133.848345               O           
152         O        -4.91774     -133.815148               O           
153         O        -4.91712     -133.798277               O           
154         O        -4.91575     -133.760999               O           
155         O        -4.91557     -133.756101               O           
156         O        -4.91459     -133.729434               O           
157         O        -4.91402     -133.713924               O           
158         O        -4.91256     -133.674196               O           
159         O        -4.91178     -133.652972               O           
160         O        -4.91174     -133.651884               O           
161         O        -4.91062     -133.621408               O           
162         O        -4.91003     -133.605353               O           
163         O        -4.90910     -133.580047               O           
164         O        -4.90857     -133.565626               O           
165         O        -4.90833     -133.559095               O           
166         O        -4.90578     -133.489708               O           
167         O        -4.90443     -133.452973               O           
168         O        -4.90185      -133.38277               O           
169         O        -1.61198      -43.863104               O           
170         O        -1.61186      -43.859839               O           
171         O        -1.61110      -43.839159               O           
172         O        -1.61098      -43.835893               O           
173         O        -1.60911      -43.785009               O           
174         O        -1.60899      -43.781744               O           
175         O        -1.60888      -43.778751               O           
176         O        -1.60872      -43.774397               O           
177         O        -1.60802       -43.75535               O           
178         O        -1.60779      -43.749091               O           
179         O        -1.60754      -43.742289               O           
180         O        -1.60741      -43.738751               O           
181         O        -1.60735      -43.737119               O           
182         O        -1.60734      -43.736847               O           
183         O        -1.60728      -43.735214               O           
184         O        -1.60663      -43.717527               O           
185         O        -1.60601      -43.700656               O           
186         O        -1.60583      -43.695758               O           
187         O        -1.60536      -43.682969               O           
188         O        -1.60527       -43.68052               O           
189         O        -1.60462      -43.662833               O           
190         O        -1.60434      -43.655214               O           
191         O        -1.60420      -43.651405               O           
192         O        -1.60405      -43.647323               O           
193         O        -1.60399      -43.645691               O           
194         O        -1.60286      -43.614943               O           
195         O        -1.60280       -43.61331               O           
196         O        -1.60211      -43.594535               O           
197         O        -1.60203      -43.592358               O           
198         O        -1.60077      -43.558072               O           
199         O        -1.58657       -43.17168               O           
200         O        -1.58580      -43.150728               O           
201         O        -1.58536      -43.138755               O           
202         O        -1.58475      -43.122157               O           
203         O        -1.58462      -43.118619               O           
204         O        -1.58405      -43.103109               O           
205         O        -1.58324      -43.081069               O           
206         O        -1.58293      -43.072633               O           
207         O        -1.58252      -43.061477               O           
208         O        -1.58175      -43.040525               O           
209         O        -1.58144      -43.032089               O           
210         O        -1.58114      -43.023926               O           
211         O        -1.58029      -43.000797               O           
212         O        -1.57986      -42.989097               O           
213         O        -1.57970      -42.984743               O           
214         O        -1.57964       -42.98311               O           
215         O        -1.57926       -42.97277               O           
216         O        -1.57869       -42.95726               O           
217         O        -1.57845      -42.950729               O           
218         O        -1.57825      -42.945287               O           
219         O        -1.57812       -42.94175               O           
220         O        -1.57667      -42.902294               O           
221         O        -1.57665       -42.90175               O           
222         O        -1.57585      -42.879982               O           
223         O        -1.57564      -42.874267               O           
224         O        -1.57402      -42.830186               O           
225         O        -1.57303      -42.803247               O           
226         O        -1.57247      -42.788009               O           
227         O        -1.57146      -42.760527               O           
228         O        -1.56990      -42.718078               O           
229         O        -0.73028       -19.87143               O           
230         O        -0.72124      -19.625445               O           
231         O        -0.71919      -19.569663               O           
232         O        -0.70168      -19.093204               O           
233         O        -0.70074      -19.067626               O           
234         O        -0.69049      -18.788716               O           
235         O        -0.67025      -18.237972               O           
236         O        -0.66620      -18.127768               O           
237         O        -0.66432      -18.076612               O           
238         O        -0.65770      -17.896477               O           
239         O        -0.65633      -17.859199               O           
240         O        -0.64466       -17.54165               O           
241         O        -0.59500      -16.190367               O           
242         O        -0.58269      -15.855403               O           
243         O        -0.57970      -15.774043               O           
